"date","GPP","Precip","Tair","PAR","VPD","fapar","ET","DOY","CO2","year","GPPp","ETp","SWp"
2005-01-09,0.1128675928068,7.638,-0.132291666666667,0.43787682484313,0.0344145833333333,0.01,0.0167037478315325,9,380,"2005",0.000362411454892152,0.0132791913306621,190.676190728587
2005-01-10,0.0785686665186,6.012,-1.61127083333333,0.547387424537317,0.0329979166666667,0.01,0.0135062648564597,10,380,"2005",0.000455275710450803,0.0156777963572467,189.067460485725
2005-01-11,0.138693611376,0.534,2.35395833333333,1.54457299713818,0.0326333333333333,0.01,0.0200584794381612,11,380,"2005",0.00142684726338199,0.0512683808086425,190.232573923816
2005-01-12,0.0885615758964,1.233,0.384166666666667,0.421849268069019,0.03249375,0.01,0.00707867466786014,12,380,"2005",0.000428239528584802,0.0130584682067513,189.897432482544
2005-01-13,0.0801800118324,2.682,1.73125,0.552884479133396,0.02896875,0.01,0.0409722934349187,13,380,"2005",0.000609529732253668,0.0179762039848752,191.713421121696
2005-01-14,0.0435253921362,0.942,-2.43291666666667,1.19342379872355,0.0280395833333333,0.01,0.0570394071792131,14,380,"2005",0.00124336252110153,0.0331188266159746,189.758947414464
2005-01-15,0,0,-6.06666666666667,2.58427795589185,0.0254729166666667,0.01,0.0114695930257798,15,380,"2005",0.00223057720423058,0.0612182607167598,188.455964942976
2005-01-16,0,3.42,-2.37583333333333,0.456686023702005,0.0245958333333333,0.01,0.010674795305559,16,380,"2005",0.000412203009445121,0.012688409271559,187.587309961984
2005-01-17,0.040160832381,0.519,1.45020833333333,0.431022063991392,0.0226166666666667,0.02,0.0508135307747654,17,380,"2005",0.000858247331831364,0.0138101909577907,188.511328507989
2005-01-18,0.0830915070588,1.317,1.10666666666667,0.238790727062226,0.021175,0.02,0.0551260791524995,18,380,"2005",0.000514687196636984,0.00756498156639061,189.37982593866
2005-01-19,0.121872758382,3.183,-0.626041666666667,0.294522913117659,0.0200333333333333,0.02,0.0783360306127866,19,380,"2005",0.000644316994008054,0.00875375849037769,188.20321729244
2005-01-20,0.1588356548064,3.678,-2.16145833333333,0.622094383385241,0.0264979166666667,0.02,0.0654620710007398,20,380,"2005",0.00130910982096356,0.0174144603766521,187.418811528293
2005-01-21,0.1091181357522,3.531,-2.30979166666667,0.55901071467722,0.0286541666666667,0.02,0.0362138864918949,21,380,"2005",0.00114398599139441,0.0155514540589763,186.895874352195
2005-01-22,0.0479206542366,2.481,-2.85354166666667,1.33383049443065,0.0201979166666667,0.02,0.0200390504482079,22,380,"2005",0.0025468687059641,0.0362368340061322,186.54724956813
2005-01-23,0.0129714259842,1.098,-5.32833333333333,1.34323509386008,0.01879375,0.02,0.0407277863855877,23,380,"2005",0.00226560626725812,0.0327766598327568,186.31483304542
2005-01-24,0.0321209908758,0.876,-7.483125,1.12865127589264,0.01439375,0.02,0.0510896454929517,24,380,"2005",0.0015436194099358,0.0248717628820573,186.159888696947
2005-01-25,0.0465788429694,0.225,-7.65770833333333,1.33485705281907,0.0121416666666667,0.02,0.0279166242472038,25,380,"2005",0.00139336053449785,0.0290849495048359,186.056592464631
2005-01-26,0.047986335189,1.425,-6.67666666666667,1.61302126129538,0.01361875,0.02,0.0635865624676055,26,380,"2005",0.00129297114524615,0.036739061527239,185.987728309754
2005-01-27,0.0342004913388,2.418,-6.95645833333333,1.68156886981276,0.0179208333333333,0.02,0.0568081311270229,27,380,"2005",0.00095691229660706,0.0377354279727118,185.941818873169
2005-01-28,0.0201515561424,0.624,-16.4227083333333,2.58922199354964,0.00499583333333333,0.02,0.00684773648842454,28,380,"2005",0,0.0347044326000907,185.911212582113
2005-01-29,0.0041701783626,0.234,-13.3995833333333,4.39231219620116,0.00994583333333334,0.02,0.0205613662040942,29,380,"2005",0,0.0702548985027488,185.890808388075
2005-01-30,0.0002399365404,4.149,-6.711875,0.7778994549187,0.0127145833333333,0.02,0.0836923050669854,30,380,"2005",0,0.0175710314111231,185.87720559205
2005-01-31,0.0209693034576,6.189,-1.87291666666667,4.7784140520023,0.0355520833333334,0.02,0.0577731873625631,31,380,"2005",0,0.133242338097199,185.868137061367
2005-02-01,0.0471877213968,0.969,-4.28770833333333,1.73948663179194,0.0165375,0.02,0.0326103972344734,32,380,"2005",0,0.0438406850408875,185.862091374245
2005-02-02,0.0457321251222,0.417,-7.41020833333333,1.6019940373165,0.0121229166666667,0.12,0.0937152764326093,33,380,"2005",0,0.0314356691925987,185.858060916163
2005-02-03,0.0163087447914,0.447,-6.70541666666667,1.96248160558711,0.0132770833333333,0.12,0.0742560929458297,34,380,"2005",0,0.0398169028580423,185.855373944109
2005-02-04,0,1.041,-1.74052083333333,0.976025223884626,0.0321333333333333,0.12,0.221314150947488,35,380,"2005",0,0.0245687911839622,185.853582629406
2005-02-05,0,3.558,0.600416666666667,0.723657434265819,0.0373041666666667,0.12,0.061566389261231,36,380,"2005",0,0.0199336158443734,188.579480152937
2005-02-06,0.008279626707,1.125,-0.079375,1.74895746079482,0.0275020833333333,0.12,0.098866082925255,37,380,"2005",0,0.0469669925797101,187.669653435291
2005-02-07,0.0324061992774,0.411,-1.63808333333333,2.75034861130955,0.05509375,0.12,0.16715957197042,38,380,"2005",0.000620439329446473,0.0696564496662525,187.063102290194
2005-02-08,0.0453498221988,0.315,-2.37458333333333,5.9558268513451,0.0659645833333333,0.12,0.0584749121001567,39,380,"2005",0.00394415685004622,0.147032383930138,186.65873486013
2005-02-09,0.0077596056576,0.261,-2.666875,1.67461476460085,0.0821541666666667,0.12,0.132165578443615,40,380,"2005",0.00190105534414838,0.0410456656885963,186.38915657342
2005-02-10,0,4.923,-3.02645833333333,1.17130312119234,0.0508395833333334,0.12,0.159504089149483,41,380,"2005",0.00163451347670709,0.0283377756074503,186.209437715613
2005-02-11,0,0.885,-0.895,2.93794387809744,0.0662625,0.12,0.171216819209889,42,380,"2005",0.00650871763900614,0.0779659080077524,186.089625143742
2005-02-12,0,0.075,-3.73520833333333,3.80813424361418,0.0295479166666667,0.12,0.0941246296005485,43,380,"2005",0.00790822356948821,0.089909516230481,186.009750095828
2005-02-13,0,0.75,-3.5,3.69415314771234,0.081075,0.12,0.307496932062591,44,380,"2005",0.00761472113198991,0.0882835271911328,185.956500063885
2005-02-14,0,1.464,-7.78958333333333,3.84323591754095,0.0509916666666667,0.12,0.217959206309504,45,380,"2005",0.00265973906078627,0.0746439327436142,185.92100004259
2005-02-15,0,0.135,-10.8345833333333,7.70326103195065,0.0385666666666667,0.12,0.0909904070610265,46,380,"2005",0,0.127248812168577,185.897333361727
2005-02-16,0.0048765837078,0,-13.4023333333333,8.42269633090924,0.0174541666666667,0.12,0.0643310586519698,47,380,"2005",0,0.120955009112441,185.881555574485
