,0,1,2,3,train_loss,val_loss
273,2,32.0,,,4.363963740304985,5.048863692014762
274,128,128.0,2.0,4.0,14.060145582338325,12.639319735428563
275,8,256.0,32.0,64.0,2.8762293257296556,6.299403896351224
276,4,8.0,32.0,,4.068374046513112,5.367079077586533
277,2,8.0,256.0,64.0,4.682161488542217,4.803686065492423
278,128,32.0,8.0,,3.0891263829744418,6.071883071495786
279,128,2.0,128.0,32.0,3.1056208179485405,6.242089546964221
280,4,8.0,8.0,128.0,3.9607295487360097,5.640357162738622
281,32,128.0,128.0,32.0,2.4852076851023592,6.9296770903281875
282,8,16.0,4.0,,4.02507009782322,5.517464432282293
283,4,32.0,2.0,,4.370739071652293,4.861499500899859
284,2,16.0,32.0,8.0,4.577194929358782,4.420950803591506
285,32,32.0,256.0,4.0,3.037771653604577,5.920607312707149
286,128,256.0,2.0,,2.585409037242993,6.4631103086325785
287,16,256.0,2.0,,13.738084661349653,12.50486593997997
288,2,2.0,128.0,,4.571739535868867,4.534650207051763
289,4,2.0,256.0,32.0,4.136693262086018,4.8249357102195845
290,32,2.0,4.0,16.0,3.95825505065918,4.887001924985291
291,16,256.0,256.0,,2.519472661153763,6.697219259200375
292,32,8.0,4.0,,3.811326089889393,5.254020931570102
293,32,4.0,64.0,32.0,3.520963937328198,5.43734539185529
294,2,64.0,4.0,32.0,4.2973102584341545,4.784989807336874
295,16,8.0,2.0,,3.865054494448122,4.910683916062926
296,64,128.0,16.0,,2.706548239460565,6.336160476836579
297,4,32.0,8.0,,4.009535838427763,5.22258236280602
298,16,16.0,,,3.799980878101662,5.4950619453770795
299,32,2.0,128.0,8.0,3.6792388097560034,5.572505934761593
300,64,16.0,256.0,,2.827584802265163,6.275889612659255
301,8,4.0,8.0,8.0,4.170128913062626,4.950420159684575
302,128,64.0,,,3.0626546260230096,5.536333685636358
303,256,8.0,8.0,128.0,3.356389924335992,5.323920883711264
304,4,4.0,256.0,,3.896717080914881,5.001410742866523
305,256,128.0,2.0,32.0,13.0153347247839,12.552886693166649
306,64,4.0,256.0,,3.22320165534463,6.03018328859653
307,8,8.0,128.0,8.0,3.6694830146462194,5.419796954084026
308,256,16.0,256.0,32.0,2.7309938734340107,6.306644207953435
309,2,256.0,256.0,,4.076838052700973,4.647643575097394
