,train_p1,train_p2,train_p3,train_p4,train_p5,train_p6
3242,5.7061014,-6.3322024,198.34796,43.675934,60.38595,16.464846
3243,-0.356574,0.0,0.0,0.0,-0.61639434,0.0
3244,-0.0053252303,-1009.29865,-999.0,-999.0,-3.5779638,-1006.4663
3245,5.7061014,-6.3322024,198.34663,43.675934,60.48547,16.464846
3246,-0.09546257,0.01160537,0.0,0.0,-0.16480303,0.0
3247,-0.004276448,-1007.2704,-999.0,-999.0,-2.8732986,-1004.99585
3248,5.7061014,-6.3322024,198.34828,43.675934,60.61292,16.464846
3249,-0.094056554,0.0,0.0,0.0,-0.16216245,0.0
3250,-0.0032946623,-1005.37164,-999.0,-999.0,-2.2136474,-1003.6193
3251,5.7061014,-6.3322024,198.34773,43.675934,60.700233,16.464846
3252,-0.09699003,0.016737666,0.0,0.0,-0.1670013,0.0
3253,-0.0035072314,-1005.7828,-999.0,-999.0,-2.3564703,-1003.91736
3254,5.7061014,-6.3322024,198.34747,43.675934,60.676754,16.464846
3255,-0.052358974,0.0,0.0,0.0,-0.09003464,0.0
3256,-0.00492647,-1008.52747,-999.0,-999.0,-3.3100414,-1005.9072
3257,5.7061014,-6.3322024,198.34798,43.675934,60.573013,16.464846
3258,-0.07391452,0.011568923,0.0,0.0,-0.12693326,0.0
3259,-0.0036750727,-1006.10736,-999.0,-999.0,-2.469241,-1004.15265
3260,5.7061014,-6.3322024,198.34737,43.675934,60.59734,16.464846
3261,-0.064475946,0.0,0.0,0.0,-0.11058107,0.0
3262,-0.0025216849,-1003.8768,-999.0,-999.0,-1.6942924,-1002.5356
3263,5.7061014,-6.3322024,198.3468,43.675934,60.3776,16.464846
3264,-0.047665264,0.009577014,0.0,0.0,-0.081642546,0.0
3265,-0.0028235647,-1004.4606,-999.0,-999.0,-1.8971221,-1002.9588
3266,5.7061014,-6.3322024,198.34729,43.675934,60.419994,16.464846
3267,-0.07787934,0.0,0.0,0.0,-0.13322009,0.0
3268,-0.0044630514,-1007.6313,-999.0,-999.0,-2.9986753,-1005.25745
3269,5.7061014,-6.3322024,198.34714,43.675934,60.47119,16.464846
3270,-0.11859812,0.017113347,0.0,0.0,-0.20261322,0.0
3271,-0.0043083173,-1007.33203,-999.0,-999.0,-2.894711,-1005.0405
3272,5.7061014,-6.3322024,198.34642,43.675934,60.336243,16.464846
3273,-0.077923186,0.0,0.0,0.0,-0.13295227,0.0
3274,-0.0046717967,-1008.035,-999.0,-999.0,-3.138929,-1005.5502
3275,5.7061014,-6.3322024,198.34694,43.675934,60.271694,16.464846
3276,-0.058036063,0.024538033,0.0,0.0,-0.09889399,0.0
3277,-0.0017216636,-1002.3296,-999.0,-999.0,-1.1567669,-1001.4139
3278,5.7061014,-6.3322024,198.3462,43.675934,60.292755,16.464846
3279,-0.018809184,0.0,0.0,0.0,-0.032010004,0.0
3280,-0.00054698036,-1000.0578,-999.0,-999.0,-0.36751008,-999.7669
3281,5.7061014,-6.3322024,198.34622,43.675934,60.271206,16.464846
3282,-0.0786086,0.02091999,0.0,0.0,-0.13360815,0.0
3283,-0.0026819925,-1004.1868,-999.0,-999.0,-1.8020014,-1002.7603
3284,5.7061014,-6.3322024,198.34624,43.675934,60.002506,16.464846
